"","date","ws","wd"
"634",2009-01-27 09:00:00,3.36,352
"635",2009-01-27 10:00:00,1.76,NA
"636",2009-01-27 11:00:00,1.76,NA
"637",2009-01-27 12:00:00,2.36,NA
"638",2009-01-27 13:00:00,0,0
"639",2009-01-27 14:00:00,3.36,204
"640",2009-01-27 15:00:00,2.86,136
"641",2009-01-27 16:00:00,2.36,128
"642",2009-01-27 17:00:00,2.36,151
"643",2009-01-27 18:00:00,0,0
"644",2009-01-27 19:00:00,0,0
"645",2009-01-27 20:00:00,0,0
"646",2009-01-27 21:00:00,0,0
"647",2009-01-27 22:00:00,0,0
"648",2009-01-27 23:00:00,0,0
"649",2009-01-28 00:00:00,1.76,357
"650",2009-01-28 01:00:00,0,0
"651",2009-01-28 02:00:00,3.36,337
"652",2009-01-28 03:00:00,3.36,354
"653",2009-01-28 04:00:00,3.36,342
"654",2009-01-28 05:00:00,1.76,317
"655",2009-01-28 06:00:00,0,0
"656",2009-01-28 07:00:00,0,0
"657",2009-01-28 08:00:00,1.76,29
"658",2009-01-28 09:00:00,1.76,NA
"659",2009-01-28 10:00:00,0,0
"660",2009-01-28 11:00:00,0,0
"661",2009-01-28 12:00:00,0,0
